[05:48.1] [INFO] 체크포인트 [7] 도달
[05:49.6] [INFO] 모양 변경: Star -> Circle / Star 유지시간: 3.48
[05:50.0] [INFO] 모양 변경: Circle -> Square / Circle 유지시간: 0.47
[05:51.2] [DEBUG] Square의 능력 사용 횟수: 87번
[05:51.5] [INFO] 모양 변경: Square -> Triangle / Square 유지시간: 1.49
[05:51.8] [DEBUG] Triangle의 능력 사용 횟수: 129번
[05:52.2] [DEBUG] 플레이어 죽음 횟수: 12번
[05:54.4] [DEBUG] 플레이어 죽음 횟수: 13번
[05:54.4] [DEBUG] 플레이어 죽음 횟수: 14번
[05:56.4] [DEBUG] Triangle의 능력 사용 횟수: 130번
[05:57.0] [DEBUG] Triangle의 능력 사용 횟수: 131번
[05:57.9] [DEBUG] Triangle의 능력 사용 횟수: 132번
[05:58.0] [DEBUG] Triangle의 능력 사용 횟수: 133번
[05:58.2] [DEBUG] Triangle의 능력 사용 횟수: 134번
[05:58.3] [DEBUG] Triangle의 능력 사용 횟수: 135번
[05:58.5] [DEBUG] Triangle의 능력 사용 횟수: 136번
[05:58.7] [DEBUG] Triangle의 능력 사용 횟수: 137번
[05:58.9] [DEBUG] Triangle의 능력 사용 횟수: 138번
[05:59.0] [DEBUG] Triangle의 능력 사용 횟수: 139번
[05:59.2] [DEBUG] Triangle의 능력 사용 횟수: 140번
[05:59.4] [DEBUG] Triangle의 능력 사용 횟수: 141번
[05:59.5] [DEBUG] Triangle의 능력 사용 횟수: 142번
[06:00.0] [DEBUG] Triangle의 능력 사용 횟수: 143번
[06:00.2] [DEBUG] Triangle의 능력 사용 횟수: 144번
[06:00.4] [DEBUG] Triangle의 능력 사용 횟수: 145번
[06:01.6] [DEBUG] Triangle의 능력 사용 횟수: 146번
[06:02.6] [DEBUG] Triangle의 능력 사용 횟수: 147번
[06:02.7] [DEBUG] Triangle의 능력 사용 횟수: 148번
[06:02.9] [DEBUG] Triangle의 능력 사용 횟수: 149번
[06:03.0] [DEBUG] Triangle의 능력 사용 횟수: 150번
[06:03.2] [DEBUG] Triangle의 능력 사용 횟수: 151번
[06:03.9] [DEBUG] Triangle의 능력 사용 횟수: 152번
[06:04.1] [DEBUG] Triangle의 능력 사용 횟수: 153번
[06:04.2] [DEBUG] Triangle의 능력 사용 횟수: 154번
[06:04.4] [DEBUG] Triangle의 능력 사용 횟수: 155번
[06:04.6] [DEBUG] Triangle의 능력 사용 횟수: 156번
[06:04.7] [DEBUG] Triangle의 능력 사용 횟수: 157번
[06:04.9] [DEBUG] Triangle의 능력 사용 횟수: 158번
[06:05.1] [DEBUG] Triangle의 능력 사용 횟수: 159번
[06:05.3] [DEBUG] Triangle의 능력 사용 횟수: 160번
[06:05.5] [DEBUG] Triangle의 능력 사용 횟수: 161번
[06:05.7] [DEBUG] Triangle의 능력 사용 횟수: 162번
[06:05.8] [DEBUG] Triangle의 능력 사용 횟수: 163번
[06:06.0] [DEBUG] Triangle의 능력 사용 횟수: 164번
[06:06.2] [DEBUG] Triangle의 능력 사용 횟수: 165번
[06:06.4] [DEBUG] Triangle의 능력 사용 횟수: 166번
[06:06.5] [DEBUG] Triangle의 능력 사용 횟수: 167번
[06:06.7] [DEBUG] Triangle의 능력 사용 횟수: 168번
[06:06.9] [DEBUG] Triangle의 능력 사용 횟수: 169번
[06:07.2] [DEBUG] Triangle의 능력 사용 횟수: 170번
[06:14.1] [DEBUG] Triangle의 능력 사용 횟수: 171번
[06:15.1] [DEBUG] Triangle의 능력 사용 횟수: 172번
[06:15.2] [DEBUG] Triangle의 능력 사용 횟수: 173번
[06:15.4] [DEBUG] Triangle의 능력 사용 횟수: 174번
[06:15.5] [DEBUG] Triangle의 능력 사용 횟수: 175번
[06:15.7] [DEBUG] Triangle의 능력 사용 횟수: 176번
[06:15.9] [DEBUG] Triangle의 능력 사용 횟수: 177번
[06:16.0] [DEBUG] Triangle의 능력 사용 횟수: 178번
[06:16.2] [DEBUG] Triangle의 능력 사용 횟수: 179번
[06:16.4] [DEBUG] Triangle의 능력 사용 횟수: 180번
[06:16.5] [DEBUG] Triangle의 능력 사용 횟수: 181번
[06:16.7] [DEBUG] Triangle의 능력 사용 횟수: 182번
[06:16.9] [DEBUG] Triangle의 능력 사용 횟수: 183번
[06:17.0] [DEBUG] Triangle의 능력 사용 횟수: 184번
[06:17.2] [DEBUG] Triangle의 능력 사용 횟수: 185번
[06:17.4] [DEBUG] Triangle의 능력 사용 횟수: 186번
[06:17.5] [DEBUG] Triangle의 능력 사용 횟수: 187번
[06:17.7] [DEBUG] Triangle의 능력 사용 횟수: 188번
[06:17.9] [DEBUG] Triangle의 능력 사용 횟수: 189번
[06:18.0] [DEBUG] Triangle의 능력 사용 횟수: 190번
[06:18.2] [DEBUG] Triangle의 능력 사용 횟수: 191번
[06:18.3] [DEBUG] Triangle의 능력 사용 횟수: 192번
[06:18.5] [DEBUG] Triangle의 능력 사용 횟수: 193번
[06:18.6] [DEBUG] Triangle의 능력 사용 횟수: 194번
[06:18.8] [DEBUG] Triangle의 능력 사용 횟수: 195번
[06:18.9] [DEBUG] Triangle의 능력 사용 횟수: 196번
[06:19.1] [DEBUG] Triangle의 능력 사용 횟수: 197번
[06:19.3] [DEBUG] Triangle의 능력 사용 횟수: 198번
[06:19.4] [DEBUG] Triangle의 능력 사용 횟수: 199번
[06:19.6] [INFO] 모양 변경: Triangle -> Star / Triangle 유지시간: 28.05
[06:21.4] [INFO] 모양 변경: Star -> Square / Star 유지시간: 1.80
[06:21.5] [DEBUG] Square의 능력 사용 횟수: 88번
[06:22.9] [INFO] 모양 변경: Square -> Star / Square 유지시간: 1.54
[06:25.8] [INFO] 체크포인트 [8] 도달
[06:26.8] [INFO] 모양 변경: Star -> Triangle / Star 유지시간: 3.89
[06:26.9] [INFO] 모양 변경: Triangle -> Square / Triangle 유지시간: 0.14
[06:29.9] [DEBUG] Square의 능력 사용 횟수: 89번
[06:31.8] [DEBUG] Square의 능력 사용 횟수: 90번
[06:32.9] [DEBUG] Square의 능력 사용 횟수: 91번
[06:33.1] [INFO] 모양 변경: Square -> Triangle / Square 유지시간: 6.16
[06:34.0] [DEBUG] Triangle의 능력 사용 횟수: 200번
[06:34.2] [DEBUG] Triangle의 능력 사용 횟수: 201번
[06:34.3] [DEBUG] Triangle의 능력 사용 횟수: 202번
[06:34.5] [DEBUG] Triangle의 능력 사용 횟수: 203번
[06:34.7] [DEBUG] Triangle의 능력 사용 횟수: 204번
[06:34.9] [DEBUG] Triangle의 능력 사용 횟수: 205번
[06:35.1] [DEBUG] Triangle의 능력 사용 횟수: 206번
[06:35.2] [DEBUG] Triangle의 능력 사용 횟수: 207번
[06:35.4] [DEBUG] Triangle의 능력 사용 횟수: 208번
[06:35.6] [DEBUG] Triangle의 능력 사용 횟수: 209번
[06:35.7] [DEBUG] Triangle의 능력 사용 횟수: 210번
[06:35.9] [DEBUG] Triangle의 능력 사용 횟수: 211번
[06:36.1] [DEBUG] Triangle의 능력 사용 횟수: 212번
[06:36.3] [DEBUG] Triangle의 능력 사용 횟수: 213번
[06:36.4] [DEBUG] Triangle의 능력 사용 횟수: 214번
[06:36.6] [DEBUG] Triangle의 능력 사용 횟수: 215번
[06:36.8] [DEBUG] Triangle의 능력 사용 횟수: 216번
[06:37.0] [DEBUG] Triangle의 능력 사용 횟수: 217번
[06:37.1] [DEBUG] Triangle의 능력 사용 횟수: 218번
[06:37.3] [DEBUG] Triangle의 능력 사용 횟수: 219번
[06:37.5] [DEBUG] Triangle의 능력 사용 횟수: 220번
[06:37.7] [DEBUG] Triangle의 능력 사용 횟수: 221번
[06:37.9] [DEBUG] Triangle의 능력 사용 횟수: 222번
[06:38.0] [DEBUG] Triangle의 능력 사용 횟수: 223번
[06:38.2] [DEBUG] Triangle의 능력 사용 횟수: 224번
[06:38.4] [DEBUG] Triangle의 능력 사용 횟수: 225번
[06:38.6] [DEBUG] Triangle의 능력 사용 횟수: 226번
[06:38.8] [DEBUG] Triangle의 능력 사용 횟수: 227번
[06:39.0] [DEBUG] Triangle의 능력 사용 횟수: 228번
[06:39.1] [DEBUG] Triangle의 능력 사용 횟수: 229번
[06:39.3] [DEBUG] Triangle의 능력 사용 횟수: 230번
[06:41.3] [INFO] 모양 변경: Triangle -> Star / Triangle 유지시간: 8.25
[06:42.5] [DEBUG] 플레이어 죽음 횟수: 15번
[06:46.5] [INFO] 모양 변경: Star -> Square / Star 유지시간: 5.15
[06:46.7] [INFO] 모양 변경: Square -> Star / Square 유지시간: 0.19
[06:47.2] [DEBUG] 플레이어 죽음 횟수: 16번
[06:47.2] [DEBUG] 플레이어 죽음 횟수: 17번
